,firstname,lastname,current,sigma,mu
2947,Yufei,PAN,"N(mu=1.119, sigma=0.211)",0.21141891173657656,1.1186602596646635
5306,Simon,VILLENEUVE,"N(mu=1.118, sigma=1.008)",1.0081658570472054,1.117738271673107
4784,Baptiste,NOMINE,"N(mu=1.117, sigma=0.315)",0.31500459773508666,1.117132763301021
4907,Mark,CROXALL,"N(mu=1.116, sigma=0.205)",0.20510789221969958,1.1158454756041047
4775,Remo,SOMMER,"N(mu=1.115, sigma=0.195)",0.19532667440171259,1.1150147812282714
4468,Mathieu,DUTRAY,"N(mu=1.115, sigma=0.194)",0.19400741602718646,1.114687819327017
1934,Zander,WALLER,"N(mu=1.108, sigma=0.512)",0.5123685634709988,1.1075607225783206
1255,Alfons,DORNAUER,"N(mu=1.105, sigma=0.209)",0.20869994162317917,1.1049052092352223
685,Aidan,ROBERTS,"N(mu=1.103, sigma=0.341)",0.34114923167892225,1.1026566229519368
4644,Karsten,BOROWKA,"N(mu=1.102, sigma=0.202)",0.20243728088766746,1.1015998260484148
4509,Laurent,LAGARIGUES,"N(mu=1.101, sigma=0.721)",0.7209226285677786,1.101145950452614
811,Alberto,GINÉS LÓPEZ,"N(mu=1.101, sigma=0.271)",0.2711008360384269,1.100997246256157
2335,Katsura,KONISHI,"N(mu=1.094, sigma=1.002)",1.0018265705529261,1.0937292524802709
518,Adrien,LEMAIRE,"N(mu=1.089, sigma=0.715)",0.7153767322821007,1.089096500623479
61,Mikhail,CHERNIKOV,"N(mu=1.082, sigma=0.257)",0.2571357194927693,1.0815426937382269
4804,Didier,HOARAU,"N(mu=1.079, sigma=0.389)",0.38931465072514965,1.0790736904548828
1245,Jan-Luca,POSCH,"N(mu=1.078, sigma=0.211)",0.2113181496342318,1.077793684726193
5373,Giovanni,LAVANNA,"N(mu=1.076, sigma=1.029)",1.0292993256679364,1.0762678079441306
1772,Kai,LIGHTNER,"N(mu=1.076, sigma=0.388)",0.38767048814905924,1.075525229753933
4791,Zach,LERNER,"N(mu=1.065, sigma=0.510)",0.5104116359334709,1.0649370267126474
5288,Severin,NOVIANT,"N(mu=1.058, sigma=0.590)",0.5900988173559493,1.058008596037597
5289,Luca,PARISSE,"N(mu=1.054, sigma=0.589)",0.5890911065521756,1.0536916153431393
4937,Kazuma,WATANABE,"N(mu=1.050, sigma=0.258)",0.2577121516791506,1.0501350447086002
89,Sergei,SKORODUMOV,"N(mu=1.049, sigma=0.256)",0.25560173194927754,1.0487310903364497
5137,Miles,GIBSON,"N(mu=1.040, sigma=0.723)",0.7225277386973342,1.0398441367104774
4864,Ivan,KAUROV,"N(mu=1.033, sigma=0.418)",0.41831120157926366,1.033383227496625
5437,Ethan,PRINGLE,"N(mu=1.032, sigma=0.388)",0.3877031851872215,1.0320806874138035
12509,Arthur,LE BRIS,"N(mu=1.031, sigma=0.713)",0.7131532453174306,1.03131855084148
874,Marco,GOZZI,"N(mu=1.029, sigma=0.999)",0.9985367565321933,1.0291884256113277
645,William,RIDAL,"N(mu=1.018, sigma=0.223)",0.22295519746241346,1.0181984207484809
5381,Sebastien,JALMAIN,"N(mu=1.011, sigma=0.252)",0.2521430193365879,1.0109777777254798
4846,Nicolas,SHERMAN CUEVO,"N(mu=1.008, sigma=1.011)",1.0110407604733498,1.0084690636366902
4510,Pierre,HARBOURG,"N(mu=1.004, sigma=1.016)",1.0160086066939629,1.0037339355109896
